"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100K 0.1%";;;
2;"C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.1uF";;;
3;"C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.47uF";;;
4;"C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uF";;;
5;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10nF";;;
6;"U1";"LQFP-48_7x7mm_P0.5mm";1;"mspm0g3507";;;
7;"J1";"PinHeader_1x04_P2.54mm_Horizontal";1;"Conn_01x04";;;
8;"R1,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1K";;;
9;"D2,D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"LED";;;
10;"SW1";"SW_SPST_TS-1088-AR02016";1;"SW_Push";;;
11;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"330";;;
12;"J3,J2";"PinHeader_1x15_P2.54mm_Vertical";2;"Conn_01x15";;;
13;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"47K";;;
